Genus,Species,Common Name(s),Identified by,Oxy Fish Inventory?,SWAT Comprehensives?,Vouchered?,CABR LT,full,Zedler,ucsc,species_code,scientific_name,code_1990,name_1990,code_2000,name_2000,,mobility,type
Erythrotrichia,spp,,,,,,,Erythrotrichia spp,Erythrotrichia spp,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Smithora,naiadum,,,,,,,Smithora naiadum,Smithora naiadum,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Callithamnion,biseriatum,,,,,,,Callithamnion biseriatum,Callithamnion biseriatum,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Callithamnion,rupicolum,,,,,,,Callithamnion rupicolum,Callithamnion rupicolum,Callithamnion rupicola,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Centroceras,clavulatum,,,,,,,Centroceras clavulatum,Centroceras clavulatum,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Centroceras ceramium,spp,,SWAT 2002,,X,,,Centroceras ceramium spp,NA,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Ceramium,eatonianum,,,,,,,Ceramium eatonianum,Ceramium eatonianum,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Ceramium,spp,,,,,,,Ceramium spp,Ceramium spp,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Griffithsia,pacifica,,,,,,,Griffithsia pacifica,Griffithsia pacifica,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Microcladia,coulteri,,SWAT 2002,,X,,,Microcladia coulteri,NA,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Platysiphonia,parva,,,,,,,Platysiphonia parva,Platysiphonia parva,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Spyridia,filamentosa,,SWAT 2002,,X,X,,Spyridia filamentosa,NA,Spyridia filamentosa,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Tiffaniella,snyderiae,,SWAT 2002,,X,X,,Tiffaniella snyderiae,NA,Tiffaniella snyderiae,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Heterosiphonia,erecta,,,,,,,Heterosiphonia erecta,Heterosiphonia erecta,Heterosiphonia erecta,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Heterosiphonia,japonica,,SWAT 2002,,X,X,,Heterosiphonia japonica,NA,Dasysiphonia japonica,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pogonophorella,californica,,,,,,,Pogonophorella californica,Pogonophorella californica,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Acrosorium,uncinatum,,SWAT 2002,,X,,,Acrosorium uncinatum,Acrosorium uncinatum,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Anisocladella,pacifica,,SWAT 2002,,X,,,Anisocladella pacifica,Anisocladella pacifica,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura,corallinara,,,,,,,Cryptopleura corallinara,Cryptopleura corallinara,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura,crispa,,,,,,,Cryptopleura crispa,Cryptopleura crispa,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura,rosacea,,,,,,,Cryptopleura rosacea,Cryptopleura rosacea,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura,violacea,,,,,,,Cryptopleura violacea,NA,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura hymenena,spp,,SWAT 2002,,X,,,Cryptopleura hymenena spp,NA,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Nienburgia,andersoniana,,SWAT 2002,,X,X,,Nienburgia andersoniana,NA,Nienburgia andersoniana,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,acrorhiza,,SWAT 2002,,X,X,,Chondria acrorhiza,NA,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,acrorhizophora,,,,,,,Chondria acrorhizophora,Chondria acrorhizophora,Chondria acrorhizophora,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,arcuata,,,,,,,Chondria arcuata,Chondria arcuata,Chondria arcuata,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,californica,,SWAT 2002,,X,X,,Chondria californica,NA,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,nidifica,,SWAT 2002,,X,X,,Chondria nidifica,Chondria nidifica,Chondria nidifica,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,oppositiclada,,SWAT 2002,,X,X,,Chondria oppositiclada,NA,Chondria oppositiclada,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,spp,,,,,,,Chondria spp,Chondria spp,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Erythrocystis,saccata,,,,,,,Erythrocystis saccata,Erythrocystis saccata,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Herposiphonia,verticillata,,,,,,,Herposiphonia verticillata,Herposiphonia verticillata,Heterosiphonia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Janczwewskia,lappacea,,,,,,,Janczwewskia lappacea,Janczwewskia lappacea,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Jantinella,verrucaeformis,,,,,,,Jantinella verrucaeformis,Jantinella verrucaeformis,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,pacifica,,Tiffany Luas,,X,X,,Laurencia pacifica,Laurencia pacifica,Laurencia pacifica/masonii,LAUSPP,Laurencia,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,sinicola,,SWAT 2002,,X,,,Laurencia sinicola,Laurencia sinicola,Osmundea sinicola,OSMSPP,Osmundea species,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,spectabilis var diegoensis,,Tiffany Luas,,,X,,Laurencia spectabilis var diegoensis,Laurencia spectabilis var diegoensis,Ceramiales,LAUSPP,Laurencia,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,splendens,,,,,,,Laurencia splendens,Laurencia splendens,Osmundea splendens,OSMSPP,Osmundea species,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,subopposita,,Tiffany Luas,,,X,,Laurencia subopposita,Laurencia subopposita,Ceramiales,LAUSPP,Laurencia,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Levringiella,gardneri,,,,,,,Levringiella gardneri,Levringiella gardneri,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Osmundea,spectabilis,,SWAT 2002,,X,,,Osmundea spectabilis,NA,Osmundea spectabilis,OSMSPP,Osmundea species,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Polysiphonia,savatieri,,,,,,,Polysiphonia savatieri,Polysiphonia savatieri,Polysiphonia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Polysiphonia,scopulorum var villum,,,,,,,Polysiphonia scopulorum var villum,Polysiphonia scopulorum var villum,Polysiphonia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Polysiphonia,spp,,SWAT 2002,,X,,,Polysiphonia spp,NA,Polysiphonia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pterosiphonia,baileyi,,SWAT 2002,,X,,,Pterosiphonia baileyi,Pterosiphonia baileyi,Pterosiphonia baileyi,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pterosiphonia,bipinnata,,SWAT 2002,,X,,,Pterosiphonia bipinnata,NA,Pterosiphonia bipinnata,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pterosiphonia,dendroidea,,SWAT 2002,,X,,,Pterosiphonia dendroidea,Pterosiphonia dendroidea,Pterosiphonia dendroidea/pennata,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Amphiroa,zonata,,SWAT 2002,,X,X,,Amphiroa zonata,NA,Amphiroa beauvoisii,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Fosliella,paschalis,,,,,,,Fosliella paschalis,Fosliella paschalis,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Jania,crassa,,SWAT 2002,,X,X,,Jania crassa,Jania crassa,Jania verrucosa,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Lithothamnion,spp,,,,,,,Lithothamnion spp,Lithothamnion spp,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Lithothrix,aspergillum,,SWAT 2002,,X,,,Lithothrix aspergillum,Lithothrix aspergillum,Lithothrix aspergillum,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Melobesia,mediocris,,,,,,,Melobesia mediocris,Melobesia mediocris,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Mesophyllum,conchatum,,,,,,,Mesophyllum conchatum,Mesophyllum conchatum,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Prionitis,angusta,,SWAT 2002,,X,X,,Prionitis angusta,NA,Prionitis angusta,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Prionitis,cornea,,SWAT 2002,,X,X,,Prionitis cornea,NA,Prionitis cornea,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Prionitis,lanceolata,,SWAT 2002,,X,,,Prionitis lanceolata,Prionitis lanceolata,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Prionitis,lyalii,,SWAT 2002,,X,,,Prionitis lyalii,NA,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Prionitis,spp,,SWAT 2002,,X,X,,Prionitis spp,NA,Prionitis sternbergii,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Gloiosiphonia,verticillaris,,,,,,,Gloiosiphonia verticillaris,Gloiosiphonia verticillaris,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Callophyllis,firma,,,,,,,Callophyllis firma,Callophyllis firma,Callophyllis spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Leptocladia,binghamiae,,,,,,,Leptocladia binghamiae,Leptocladia binghamiae,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondracanthus,leptorhynchos,,SWAT 2002,,X,,,Chondracanthus leptorhynchos,NA,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Gigartina,tepida,,,,,,,Gigartina tepida,Gigartina tepida,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Gracilaria,andersonii,,SWAT 2002,,X,,,Gracilaria andersonii,Gracilaria andersonii,Gracilariopsis/Gracilaria spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Gracilaria,veleroae,,,,,,,Gracilaria veleroae,Gracilaria veleroae,Gracilariopsis/Gracilaria spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Hypnea,johnstonii,,,,,,,Hypnea johnstonii,Hypnea johnstonii,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Hypnea,valentiae,,SWAT 2002,,X,X,,Hypnea valentiae,Hypnea valentiae,Hypnea valentiae,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Opuntiella,californica,,,,,,,Opuntiella californica,Opuntiella californica,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Gymnogongrus,leptophyllus,,SWAT 2002,,X,,,Gymnogongrus leptophyllus,NA,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Ozophora,latifolia,,,,,,,Ozophora latifolia,Ozophora latifolia,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Petroglossum,pacificum,,,,,,,Petroglossum pacificum,Petroglossum pacificum,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Petroglossum,parvum,,,,,,,Petroglossum parvum,Petroglossum parvum,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Plocamium,cartilagineum,,Tiffany Luas,,X,X,,Plocamium cartilagineum,Plocamium cartilagineum,Plocamium pacificum,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Acrochaetium,pacificum,,,,,,,Acrochaetium pacificum,Acrochaetium pacificum,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Acrochaetium,thuretii,,,,,,,Acrochaetium thuretii,Acrochaetium thuretii,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pterocladiella,caloglossoides,,,,,,,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella capillacea,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pterocladiella,capillacea,,Tiffany Luas,,X,X,,Pterocladiella capillacea,Pterocladiella capillacea,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cumagloia,andersonii,,,,,,,Cumagloia andersonii,Cumagloia andersonii,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Binghamia,californica,,,,,,,Binghamia californica,Binghamia californica,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Champia,parvula,,,,,,,Champia parvula,Champia parvula,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Coeloseira,compressa,,,,,,,Coeloseira compressa,Coeloseira compressa,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Coeloseira,parva,,,,,,,Coeloseira parva,Coeloseira parva,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Gastroclonium,subarticulatum,,Tiffany Luas,,X,X,,Gastroclonium subarticulatum,Gastroclonium subarticulatum,Gastroclonium subarticulatum,GASTRO,Gastroclonium species,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Rhodymenia,californica,,SWAT 2002,,X,,,Rhodymenia californica,Rhodymenia californica,Rhodymenia californica,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Rhodymenia,pacifica,,SWAT 2002,,X,X,,Rhodymenia pacifica,Rhodymenia pacifica,Rhodymenia pacifica,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Chondracanthus spinosus,CHOSPI,Chondracanthus spinosa,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Gastroclonium parvum,GASTRO,Gastroclonium species,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Acrosorium ciliolatum,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Ahnfeltia fastigiata,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Ahnfeltiopsis leptophylla,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Bangia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Chondria dasyphylla,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Cryptonemia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Dasya binghamiae,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Erythroglossum californicum,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Farlowia/Pikea spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Herposiphonia littoralis,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Hypnea variabilis,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Lomentaria hakodatensis,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Nemalion elminthoides,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Plocamium pacificum,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Sarcodiotheca gaudichaudii,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Scinaia confusa,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
,,,,,,,,NA,NA,Caulacanthus okamurae,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,sessile,sessile,algae
,,,not seen?,,,,,NA,NA,Pelvetiopsis arborescens/hybrida/limitata,PELLIM,Pelvetiopsis limitata,OTHPLA,Algae/plants,PELLIM,Pelvetiopsis limitata,,sessile,algae
Phragmatopoma,californica,Sandcastle worms,Leslie Harris,,X,,,Phragmatopoma californica,Phragmatopoma californica,Phragmatopoma/Sabellaria spp,PHRCAL,Phragmatopoma californica,OTHANI,Animals,PHRCAL,Phragmatopoma californica,,sessile,sessile invertebrates
Phyllospadix,scouleri,,SWAT 2002,,X,,,Phyllospadix scouleri,NA,Phyllospadix scouleri,PHYOVR,Phyllospadix scouleri/torreyi,OTHPLA,Algae/plants,PHYOVR,Phyllospadix scouleri/torreyi,,sessile,algae
Phyllospadix,torreyi,,SWAT 2002,,X,,,Phyllospadix torreyi,NA,Phyllospadix torreyi,PHYOVR,Phyllospadix scouleri/torreyi,OTHPLA,Algae/plants,PHYOVR,Phyllospadix scouleri/torreyi,,sessile,algae
Pisaster,ochraceus,Ochre seastar,,,,,,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,PISOCH,Pisaster ochraceus,OTHANI,Animals,PISOCH,Pisaster ochraceus,,mobile,mobile invertebrates
Pollicipes,polymerus,"Goose Barnacle, Goose-neck barnacle, Leaf barnacle",Bonnie Becker,,X,,,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,POLPOL,Pollicipes polymerus,POLPOL,Pollicipes polymerus,POLPOL,Pollicipes polymerus,,sessile,sessile invertebrates
Porphyra,spp,,SWAT 2002,,X,,,Porphyra spp,NA,Pyropia spp,PORSPP,Porphyra spp,OTHPLA,Algae/plants,PORSPP,Porphyra spp,,sessile,algae
Sargassum,muticum,Invasive sargassum weed,Chris Janousek,,X,,,Sargassum muticum,Sargassum muticum,Sargassum muticum,SARMUT,Sargassum muticum,OTHPLA,Algae/plants,SARMUT,Sargassum muticum,,sessile,algae
Scytosiphon,dotyi,,,,,,,Scytosiphon dotyi,Scytosiphon dotyi,Melanosiphon/Scytosiphon spp,SCYSPP,Scytosiphon spp,OTHPLA,Algae/plants,SCYSPP,Scytosiphon spp,,sessile,algae
Scytosiphon,lomentaria,,SWAT 2002,,X,,,Scytosiphon lomentaria,NA,Melanosiphon/Scytosiphon spp,SCYSPP,Scytosiphon spp,OTHPLA,Algae/plants,SCYSPP,Scytosiphon spp,,sessile,algae
Scytosiphon,spp,,SWAT 2002,,X,X,,Scytosiphon spp,NA,Melanosiphon/Scytosiphon spp,SCYSPP,Scytosiphon spp,OTHPLA,Algae/plants,SCYSPP,Scytosiphon spp,,sessile,algae
Silvetia,compressa,Rock weed,Tiffany Luas,,X,X,,Silvetia compressa,Silvetia compressa,Silvetia compressa,SILCOM,Silvetia compressa,SILCOM,Silvetia compressa,SILCOM,Silvetia compressa,,sessile,algae
Cystoseira,osmundacea,,,,,,,Cystoseira osmundacea,Cystoseira osmundacea,Stephanocystis osmundacea,STESPP,Stephanocystis spp,OTHPLA,Algae/plants,STEDIO,Stephanocystis dioica,,sessile,algae
Cystoseira,setchelli,,,,,,,Cystoseira setchelli,Cystoseira setchelli,Stephanocystis setchellii,STESPP,Stephanocystis spp,OTHPLA,Algae/plants,STEDIO,Stephanocystis dioica,,sessile,algae
Halidrys,dioica,,Chris Janousek,,X,,,Halidrys dioica,Halidrys dioica,Stephanocystis dioica,STEDIO,Stephanocystis dioica,OTHPLA,Algae/plants,STEDIO,Stephanocystis dioica,,sessile,algae
Tetraclita,rubescens,Pink thatched barnacle,Bonnie Becker,,X,,,Tetraclita rubescens,Tetraclita rubescens,Tetraclita rubescens,TETRUB,Tetraclita rubescens,TETRUB,Tetraclita rubescens,TETRUB,Tetraclita rubescens,,sessile,sessile invertebrates
Enteromorpha,compressa,,,,,,,Enteromorpha compressa,Enteromorpha compressa,Ulvophyceae,ULVENT,Ulva/enteromorpha,OTHPLA,Algae/plants,ULVENT,Ulva/enteromorpha,,sessile,algae
Enteromorpha,flexuosa,,,,,,,Enteromorpha flexuosa,Enteromorpha flexuosa,Ulvophyceae,ULVENT,Ulva/enteromorpha,OTHPLA,Algae/plants,ULVENT,Ulva/enteromorpha,,sessile,algae
Enteromorpha,spp,,SWAT 2002,,X,,,Enteromorpha spp,Enteromorpha spp,Ulvophyceae,ULVENT,Ulva/enteromorpha,OTHPLA,Algae/plants,ULVENT,Ulva/enteromorpha,,sessile,algae
Ulva,angusta,,,,,,,Ulva angusta,Ulva angusta,Ulvophyceae,ULVENT,Ulva/enteromorpha,OTHPLA,Algae/plants,ULVENT,Ulva/enteromorpha,,sessile,algae
Ulva,californica,,,,,,,Ulva californica,Ulva californica,Ulvophyceae,ULVENT,Ulva/enteromorpha,OTHPLA,Algae/plants,ULVENT,Ulva/enteromorpha,,sessile,algae
Ulva,rigida,,,,,,,Ulva rigida,Ulva rigida,Ulvophyceae,ULVENT,Ulva/enteromorpha,OTHPLA,Algae/plants,ULVENT,Ulva/enteromorpha,,sessile,algae
Ulva,spp,,SWAT 2002,,X,,,Ulva spp,NA,Ulvophyceae,ULVENT,Ulva/enteromorpha,OTHPLA,Algae/plants,ULVENT,Ulva/enteromorpha,,sessile,algae
