Zone,Plot ID,plot_code_full,Site ID,type,lat,long,Std. Dev.,Tidal Height 
Cabrillo I,B1,Cabrillo I CHT-01,286,Barnacles,32.669721,-117.245609,0.135574,30.47
Cabrillo I,B2,Cabrillo I CHT-02,299,Barnacles,32.669621,-117.245614,0.116806,38.22
Cabrillo I,B3,Cabrillo I CHT-03,294,Barnacles,32.669486,-117.245829,n/a,28.97
Cabrillo I,B4,Cabrillo I CHT-04,292,Barnacles,32.669211,-117.245595,0.223629,27.72
Cabrillo I,B5,Cabrillo I CHT-05,293,Barnacles,32.669166,-117.245532,0.067995,29.47
Cabrillo I,M1,Cabrillo I MYT-01,298,Mussels,32.669525,-117.245838,n/a,38.47
Cabrillo I,M2,Cabrillo I MYT-02,297,Mussels,32.669516,-117.245832,n/a,27.47
Cabrillo I,M3,Cabrillo I MYT-03,296,Mussels,32.669365,-117.245836,n/a,25.97
Cabrillo I,M4,Cabrillo I MYT-04,289,Mussels,32.669308,-117.245801,n/a,18.47
Cabrillo I,M5,Cabrillo I MYT-05,285,Mussels,32.669291,-117.245657,n/a,31.22
Cabrillo I,Pe1,Cabrillo I SIL-01,291,Rockweed,32.669444,-117.245619,0.150569,20.72
Cabrillo I,Pe2,Cabrillo I SIL-02,290,Rockweed,32.669396,-117.245541,0.073069,31.72
Cabrillo I,Pe3,Cabrillo I SIL-03,295,Rockweed,32.669334,-117.245551,0.110047,18.97
Cabrillo I,Pe4,Cabrillo I SIL-04,288,Rockweed,32.669228,-117.245549,0.223704,24.47
Cabrillo I,Pe5,Cabrillo I SIL-05,287,Rockweed,32.669194,-117.245424,0.133229,38.47
Cabrillo I,Po1,Cabrillo I POL-01,276N,Goose Barnacles,32.669617,-117.245517,0.121877,53.22
Cabrillo I,Po2,Cabrillo I POL-02,276C,Goose Barnacles,32.669573,-117.245522,0.521161,55.72
Cabrillo I,Po3,Cabrillo I POL-03,281N,Goose Barnacles,32.669293,-117.245373,0.170371,64.22
Cabrillo I,Po4,Cabrillo I POL-04,281S,Goose Barnacles,32.669219,-117.245355,0.139746,16.22
Cabrillo I,Po5,Cabrillo I POL-05,278N,Goose Barnacles,32.669139,-117.245216,0.112053,54.22
Cabrillo I,Po6,Cabrillo I POL-06,278S,Goose Barnacles,32.669116,-117.245204,0.098488,56.97
Cabrillo II,B1,Cabrillo II CHT-01,286,Barnacles,32.669721,-117.245609,0.135574,30.47
Cabrillo II,B2,Cabrillo II CHT-02,299,Barnacles,32.669621,-117.245614,0.116806,38.22
Cabrillo II,B3,Cabrillo II CHT-03,294,Barnacles,32.669486,-117.245829,n/a,28.97
Cabrillo II,B4,Cabrillo II CHT-04,292,Barnacles,32.669211,-117.245595,0.223629,27.72
Cabrillo II,B5,Cabrillo II CHT-05,293,Barnacles,32.669166,-117.245532,0.067995,29.47
Cabrillo II,M1,Cabrillo II MYT-01,298,Mussels,32.669525,-117.245838,n/a,38.47
Cabrillo II,M2,Cabrillo II MYT-02,297,Mussels,32.669516,-117.245832,n/a,27.47
Cabrillo II,M3,Cabrillo II MYT-03,296,Mussels,32.669365,-117.245836,n/a,25.97
Cabrillo II,M4,Cabrillo II MYT-04,289,Mussels,32.669308,-117.245801,n/a,18.47
Cabrillo II,M5,Cabrillo II MYT-05,285,Mussels,32.669291,-117.245657,n/a,31.22
Cabrillo II,Pe1,Cabrillo II SIL-01,291,Rockweed,32.669444,-117.245619,0.150569,20.72
Cabrillo II,Pe2,Cabrillo II SIL-02,290,Rockweed,32.669396,-117.245541,0.073069,31.72
Cabrillo II,Pe3,Cabrillo II SIL-03,295,Rockweed,32.669334,-117.245551,0.110047,18.97
Cabrillo II,Pe4,Cabrillo II SIL-04,288,Rockweed,32.669228,-117.245549,0.223704,24.47
Cabrillo II,Pe5,Cabrillo II SIL-05,287,Rockweed,32.669194,-117.245424,0.133229,38.47
Cabrillo II,Po1,Cabrillo II POL-01,276N,Goose Barnacles,32.669617,-117.245517,0.121877,53.22
Cabrillo II,Po2,Cabrillo II POL-02,276C,Goose Barnacles,32.669573,-117.245522,0.521161,55.72
Cabrillo II,Po3,Cabrillo II POL-03,281N,Goose Barnacles,32.669293,-117.245373,0.170371,64.22
Cabrillo II,Po4,Cabrillo II POL-04,281S,Goose Barnacles,32.669219,-117.245355,0.139746,16.22
Cabrillo II,Po5,Cabrillo II POL-05,278N,Goose Barnacles,32.669139,-117.245216,0.112053,54.22
Cabrillo II,Po6,Cabrillo II POL-06,278S,Goose Barnacles,32.669116,-117.245204,0.098488,56.97
Cabrillo III,B1,Cabrillo III CHT-01,247,Barnacles,32.66793,-117.245276,0.098347,21.39
Cabrillo III,B2,Cabrillo III CHT-02,248,Barnacles,32.667938,-117.24522,0.18427,33.14
Cabrillo III,B3,Cabrillo III CHT-03,256,Barnacles,32.667326,-117.245159,0.144025,16.76
Cabrillo III,B4,Cabrillo III CHT-04,259,Barnacles,32.667239,-117.245046,0.118495,16.92
Cabrillo III,B5,Cabrillo III CHT-05,260,Barnacles,32.667113,-117.245055,0.080409,39.76
Cabrillo III,Po1,Cabrillo III POL-01,275N,Goose Barnacles,32.667895,-117.245014,0.148883,58.39
Cabrillo III,Po2,Cabrillo III POL-02,275C,Goose Barnacles,32.667881,-117.245016,0.094434,54.64
Cabrillo III,Po3,Cabrillo III POL-03,274N,Goose Barnacles,32.667235,-117.244918,0.182115,41.26
Cabrillo III,Po4,Cabrillo III POL-04,274S,Goose Barnacles,32.667157,-117.244922,0.094743,69.76
Cabrillo III,Po5,Cabrillo III POL-05,273N,Goose Barnacles,32.667049,-117.244838,0.163687,62.51
Cabrillo III,Po6,Cabrillo III POL-06,273S,Goose Barnacles,32.667007,-117.244824,0.141477,64.26
Cabrillo III,M1,Cabrillo III MYT-01,245,Mussels,32.668002,-117.245313,0.074474,17.64
Cabrillo III,M2,Cabrillo III MYT-02,246,Mussels,32.667916,-117.245302,0.081164,ND
Cabrillo III,M3,Cabrillo III MYT-03,253,Mussels,32.66771,-117.245264,0.127676,22.64
Cabrillo III,M4,Cabrillo III MYT-04,254,Mussels,32.667659,-117.245264,0.067801,23.39
Cabrillo III,M5,Cabrillo III MYT-05,255,Mussels,32.667533,-117.245419,n/a,19.89
Cabrillo III,Pe1,Cabrillo III SIL-01,249,Rockweed,32.667887,-117.245181,0.212161,6.64
Cabrillo III,Pe2,Cabrillo III SIL-02,251,Rockweed,32.667863,-117.245207,0.147188,26.14
Cabrillo III,Pe3,Cabrillo III SIL-03,252,Rockweed,32.6678,-117.245139,0.054098,14.39
Cabrillo III,Pe4,Cabrillo III SIL-04,258,Rockweed,32.667253,-117.2451,0.080494,13.76
Cabrillo III,Pe5,Cabrillo III SIL-05,265,Rockweed,32.667203,-117.24502,0.087944,15.59
